user_id,items
0,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
0,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
1,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
2,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
3,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
4,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
5,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
6,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
7,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
8,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
9,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
10,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
11,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
12,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
13,72390 72390 72390 72390 72390 72390 72390 72390 72390 72390
14,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
15,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
16,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
17,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
18,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
19,65542 65542 65542 65542 65542 65542 65542 65542 65542 65542
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
10,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
11,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
12,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
13,72390 67143 72386 72389 35391 75909 73036 67141 70642 73190
14,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
15,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
16,65542 6864 30280 76150 7151 12104 37461 75182 27764 66839
17,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
18,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
19,65542 6864 30280 76150 7151 77142 30293 12104 37461 75182
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
10,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
11,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
12,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
13,72390 67143 72386 72389 35391 75909 73036 67141 70642 73190 67147 77400 38113 30691 71259 72387 64918 55343 77439 55019
14,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
15,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
16,65542 6864 30280 76150 7151 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254 32000
17,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
18,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
19,65542 6864 30280 76150 7151 77142 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 77678 68329
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
10,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
11,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
12,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
13,72390 67143 72386 72389 35391 75909 73036 67141 70642 73190 67147 77400 38113 30691 71259 72387 64918 55343 77439 55019
14,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
15,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
16,65542 6864 30280 76150 7151 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254 32000
17,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
18,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 68329 15381 28254
19,65542 6864 30280 76150 7151 77142 30293 12104 37461 75182 27764 66839 29102 71955 74491 74458 74453 31543 77678 68329
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
10,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
11,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
12,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
13,72390 67143 72386 72389 35391 75909 73036 67141 70642 73190
14,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
15,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
16,65542 6864 30280 76150 7151 12104 37461 75182 27764 66839
17,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
18,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
19,65542 6864 30280 76150 7151 77142 30293 12104 37461 75182
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
10,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
11,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
12,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
13,72390 67143 72386 72389 35391 75909 73036 67141 70642 73190
14,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
15,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
16,65542 6864 30280 76150 7151 12104 37461 75182 27764 66839
17,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
18,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
19,65542 6864 30280 76150 7151 77142 30293 12104 37461 75182
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
10,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
11,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
12,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
13,72390 67143 72386 72389 35391 75909 73036 67141 70642 73190
14,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
15,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
16,65542 6864 30280 76150 7151 12104 37461 75182 27764 66839
17,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
18,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
19,65542 6864 30280 76150 7151 77142 30293 12104 37461 75182
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
